,hum_ratio,temp,wind_dir,solar_radiation,windspeed,weekday,week
2050-01-13 01:00:00,0.0032934512184742254,7.2,120,0,4.6,0.0,2
2050-01-13 02:00:00,0.0032997646260650416,6.7,150,0,2.6,0.0,2
2050-01-13 03:00:00,0.0035683214307434237,6.1,160,0,2.6,0.0,2
2050-01-13 04:00:00,0.003996776900833109,5.0,180,0,1.0,0.0,2
2050-01-13 05:00:00,0.003998053382732343,5.0,100,0,1.5,0.0,2
2050-01-13 06:00:00,0.003889909578663543,5.0,120,0,3.1,0.0,2
2050-01-13 07:00:00,0.00340790464975338,5.0,150,0,3.1,0.0,2
2050-01-13 08:00:00,0.0032470435470876406,5.0,150,8,4.6,0.0,2
2050-01-13 09:00:00,0.0031648809278133384,4.4,150,25,5.2,0.0,2
2050-01-13 10:00:00,0.0032474418777568253,5.0,130,39,3.1,0.0,2
2050-01-13 11:00:00,0.003245849141174482,5.0,140,60,6.2,0.0,2
2050-01-13 12:00:00,0.0032733551167562435,5.6,140,61,5.7,0.0,2
2050-01-13 13:00:00,0.0031378119418657862,5.0,140,92,5.2,0.0,2
2050-01-13 14:00:00,0.003243224538725126,5.0,120,21,5.2,0.0,2
2050-01-13 15:00:00,0.003689049963184069,3.9,140,20,5.2,0.0,2
2050-01-13 16:00:00,0.003863509997371415,3.3,130,9,5.2,0.0,2
2050-01-13 17:00:00,0.003861526111649892,3.3,120,0,5.2,0.0,2
2050-01-13 18:00:00,0.003997654466775112,2.8,130,0,4.6,0.0,2
2050-01-13 19:00:00,0.004001529464295722,3.3,130,0,3.6,0.0,2
2050-01-13 20:00:00,0.004176832867946588,3.9,120,0,5.2,0.0,2
2050-01-13 21:00:00,0.0039815420185058716,3.9,130,0,4.6,0.0,2
2050-01-13 22:00:00,0.003982711340962736,3.9,110,0,4.1,0.0,2
2050-01-13 23:00:00,0.004180002247926801,3.9,120,0,3.6,0.0,2
2050-01-14 00:00:00,0.0038654959226107487,3.3,120,0,3.1,0.0,2
2050-01-14 01:00:00,0.004009762789197065,3.3,120,0,3.6,0.0,2
2050-01-14 02:00:00,0.004011334884433165,3.3,50,0,2.6,0.0,2
2050-01-14 03:00:00,0.004008528005407913,2.8,120,0,5.2,0.0,2
2050-01-14 04:00:00,0.003872727728650905,2.8,80,0,2.6,0.0,2
2050-01-14 05:00:00,0.003946953739554416,2.9,100,0,2.9,0.0,2
2050-01-14 06:00:00,0.003975611577379839,3.0,110,0,3.3,0.0,2
2050-01-14 07:00:00,0.004022825947482468,3.0,130,0,3.6,0.0,2
2050-01-14 08:00:00,0.00405469822287137,3.1,150,23,3.9,0.0,2
2050-01-14 09:00:00,0.004132661711289008,3.2,160,77,4.3,0.0,2
2050-01-14 10:00:00,0.004210834622368823,3.3,180,133,4.6,0.0,2
2050-01-14 11:00:00,0.004198603791645622,3.9,180,198,4.1,0.0,2
2050-01-14 12:00:00,0.004201702926647269,3.9,190,245,3.1,0.0,2
2050-01-14 13:00:00,0.004205635071689301,3.9,190,184,3.6,0.0,2
2050-01-14 14:00:00,0.004207292914387094,3.9,180,105,4.1,0.0,2
2050-01-14 15:00:00,0.004208952064628797,3.9,180,44,4.1,0.0,2
2050-01-14 16:00:00,0.004210508706871992,3.9,180,11,4.1,0.0,2
2050-01-14 17:00:00,0.004012466052246058,3.9,200,0,3.6,0.0,2
2050-01-14 18:00:00,0.00421030108804971,3.9,210,0,4.1,0.0,2
2050-01-14 19:00:00,0.0043631402927013065,4.4,230,0,6.2,0.0,2
2050-01-14 20:00:00,0.004581317700123293,5.6,220,0,4.6,0.0,2
2050-01-14 21:00:00,0.004748854469798117,7.2,240,0,5.2,0.0,2
2050-01-14 22:00:00,0.004589798362472479,6.7,210,0,4.6,0.0,2
2050-01-14 23:00:00,0.0045904798708146,6.7,220,0,4.1,0.0,2
2050-01-15 00:00:00,0.004228178200856025,6.7,190,0,3.6,1.0,2
2050-01-15 01:00:00,0.004057769342916954,6.1,190,0,4.1,1.0,2
2050-01-15 02:00:00,0.004031481631813511,5.6,190,0,4.6,1.0,2
2050-01-15 03:00:00,0.004030583780260343,5.6,190,0,5.2,1.0,2
2050-01-15 04:00:00,0.004030883019672415,5.6,160,0,3.6,1.0,2
2050-01-15 05:00:00,0.004242026644344586,5.0,140,0,5.2,1.0,2
2050-01-15 06:00:00,0.004065182378654926,4.4,140,0,3.6,1.0,2
